condition,seed,validation_macro_f1,accuracy,balanced_accuracy,macro_f1,real_recall,fake_recall
text_only,42,0.8447996543903229,0.8357588357588358,0.8332067281606077,0.8298000994351902,0.845360824742268,0.8210526315789474
image_only,42,0.8038632722093644,0.7962577962577962,0.7941671188279978,0.7896901881000821,0.8041237113402062,0.7842105263157895
normal_fusion,42,0.8640951158548942,0.8586278586278586,0.8566739012479653,0.8533799533799533,0.865979381443299,0.8473684210526315
modality_dropout,42,0.8714162997959841,0.8544698544698545,0.8568909386869235,0.8502224199288255,0.845360824742268,0.868421052631579
text_only,43,0.8402412201629768,0.8357588357588358,0.8304666304937601,0.8289450584077968,0.8556701030927835,0.8052631578947368
image_only,43,0.8119154708360106,0.7941787941787942,0.7906221739916802,0.7870510739344505,0.8075601374570447,0.7736842105263158
normal_fusion,43,0.8700488334237656,0.8627858627858628,0.8601103273648038,0.8574571644096411,0.872852233676976,0.8473684210526315
modality_dropout,43,0.8764441548215425,0.8523908523908524,0.84877916440586,0.8465296034153466,0.865979381443299,0.8315789473684211
text_only,44,0.8452620244077531,0.8357588357588358,0.8341200940495569,0.8300710589981979,0.8419243986254296,0.8263157894736842
image_only,44,0.8041004303140226,0.7962577962577962,0.7941671188279978,0.7896901881000821,0.8041237113402062,0.7842105263157895
normal_fusion,44,0.8684095566214056,0.8565488565488566,0.854955688189546,0.8513443906459256,0.8625429553264605,0.8473684210526315
modality_dropout,44,0.8801515530614433,0.8523908523908524,0.8533459938506058,0.8477474866810815,0.8487972508591065,0.8578947368421053
