Model,Confidence Threshold,Selected Samples,Coverage,Accuracy
BERT (reproducible 20k),0.5,5000,1.0,0.8378
BERT (reproducible 20k),0.6,4590,0.918,0.8671023965141612
BERT (reproducible 20k),0.7,4154,0.8308,0.8911892152142513
BERT (reproducible 20k),0.8,3577,0.7154,0.9152921442549623
BERT (reproducible 20k),0.9,2681,0.5362,0.9410667661320403
BERT (reproducible 20k),0.95,1783,0.3566,0.9590577678070668
TF-IDF + Logistic Regression,0.5,5000,1.0,0.7752
TF-IDF + Logistic Regression,0.6,3867,0.7734,0.8329454357382984
TF-IDF + Logistic Regression,0.7,2472,0.4944,0.8689320388349514
TF-IDF + Logistic Regression,0.8,1268,0.2536,0.9132492113564669
TF-IDF + Logistic Regression,0.9,317,0.0634,0.9463722397476341
TF-IDF + Logistic Regression,0.95,59,0.0118,0.9661016949152542
BERT (four-model subset),0.5,957,1.0,0.9111807732497388
BERT (four-model subset),0.6,929,0.9707419017763845,0.9192680301399354
BERT (four-model subset),0.7,894,0.9341692789968652,0.930648769574944
BERT (four-model subset),0.8,863,0.9017763845350052,0.9409038238702202
BERT (four-model subset),0.9,786,0.8213166144200627,0.9580152671755725
BERT (four-model subset),0.95,691,0.722048066875653,0.9638205499276411
CLIP + MLP,0.5,957,1.0,0.6436781609195402
CLIP + MLP,0.6,761,0.7951933124346917,0.6044678055190539
CLIP + MLP,0.7,0,0.0,
CLIP + MLP,0.8,0,0.0,
CLIP + MLP,0.9,0,0.0,
CLIP + MLP,0.95,0,0.0,
ViLT,0.5,957,1.0,0.6802507836990596
ViLT,0.6,916,0.9571577847439916,0.6888646288209607
ViLT,0.7,872,0.9111807732497388,0.6903669724770642
ViLT,0.8,822,0.8589341692789969,0.694647201946472
ViLT,0.9,721,0.7533960292580982,0.6907073509015257
ViLT,0.95,586,0.6123301985370951,0.7064846416382252
BLIP Caption + BERT,0.5,957,1.0,0.5297805642633229
BLIP Caption + BERT,0.6,3,0.003134796238244514,0.6666666666666666
BLIP Caption + BERT,0.7,0,0.0,
BLIP Caption + BERT,0.8,0,0.0,
BLIP Caption + BERT,0.9,0,0.0,
BLIP Caption + BERT,0.95,0,0.0,
