Model,bin,lower_bound,upper_bound,samples,mean_fake_probability,observed_fake_rate
BERT (reproducible 20k),0,0.0,0.1,1507,0.03804695613184159,0.0371599203715992
BERT (reproducible 20k),1,0.1,0.2,514,0.14611494848468423,0.10505836575875487
BERT (reproducible 20k),2,0.2,0.30000000000000004,307,0.24775729306551844,0.17263843648208468
BERT (reproducible 20k),3,0.30000000000000004,0.4,229,0.34643046134944566,0.24017467248908297
BERT (reproducible 20k),4,0.4,0.5,222,0.44990222867544705,0.44144144144144143
BERT (reproducible 20k),5,0.5,0.6000000000000001,188,0.5489909839122853,0.4521276595744681
BERT (reproducible 20k),6,0.6000000000000001,0.7000000000000001,207,0.6498554138745662,0.5024154589371981
BERT (reproducible 20k),7,0.7000000000000001,0.8,270,0.7526208738485972,0.6444444444444445
BERT (reproducible 20k),8,0.8,0.9,382,0.8553820999817074,0.7617801047120419
BERT (reproducible 20k),9,0.9,1.0,1174,0.9539582552658029,0.9131175468483816
TF-IDF + Logistic Regression,0,0.0,0.1,172,0.06881428234905768,0.005813953488372093
TF-IDF + Logistic Regression,1,0.1,0.2,456,0.15599459182360162,0.05921052631578947
TF-IDF + Logistic Regression,2,0.2,0.30000000000000004,605,0.2509341187905176,0.12231404958677686
TF-IDF + Logistic Regression,3,0.30000000000000004,0.4,828,0.33995326989769153,0.1388888888888889
TF-IDF + Logistic Regression,4,0.4,0.5,565,0.4494354905322383,0.3168141592920354
TF-IDF + Logistic Regression,5,0.5,0.6000000000000001,568,0.5500936817559599,0.4735915492957746
TF-IDF + Logistic Regression,6,0.6000000000000001,0.7000000000000001,567,0.6493595019150306,0.6349206349206349
TF-IDF + Logistic Regression,7,0.7000000000000001,0.8,599,0.7531357934713061,0.7662771285475793
TF-IDF + Logistic Regression,8,0.8,0.9,495,0.8445555991151293,0.8666666666666667
TF-IDF + Logistic Regression,9,0.9,1.0,145,0.927920047103383,0.8896551724137931
BERT (four-model subset),0,0.0,0.1,401,0.015464068648226532,0.04239401496259352
BERT (four-model subset),1,0.1,0.2,25,0.15708499670028686,0.36
BERT (four-model subset),2,0.2,0.30000000000000004,15,0.2470744490623474,0.4
BERT (four-model subset),3,0.30000000000000004,0.4,12,0.354951207836469,0.16666666666666666
BERT (four-model subset),4,0.4,0.5,17,0.4400276927387013,0.23529411764705882
BERT (four-model subset),5,0.5,0.6000000000000001,11,0.553172382441434,0.45454545454545453
BERT (four-model subset),6,0.6000000000000001,0.7000000000000001,23,0.6500864054845727,0.5217391304347826
BERT (four-model subset),7,0.7000000000000001,0.8,16,0.7558790296316147,0.6875
BERT (four-model subset),8,0.8,0.9,52,0.8621964798523829,0.8269230769230769
BERT (four-model subset),9,0.9,1.0,385,0.9798501805825667,0.9584415584415584
CLIP + MLP,0,0.0,0.1,0,,
CLIP + MLP,1,0.1,0.2,0,,
CLIP + MLP,2,0.2,0.30000000000000004,0,,
CLIP + MLP,3,0.30000000000000004,0.4,746,0.3079933647975206,0.4008042895442359
CLIP + MLP,4,0.4,0.5,20,0.4430133938789368,0.75
CLIP + MLP,5,0.5,0.6000000000000001,176,0.5554336173967882,0.8579545454545454
CLIP + MLP,6,0.6000000000000001,0.7000000000000001,15,0.6215919375419616,0.8666666666666667
CLIP + MLP,7,0.7000000000000001,0.8,0,,
CLIP + MLP,8,0.8,0.9,0,,
CLIP + MLP,9,0.9,1.0,0,,
ViLT,0,0.0,0.1,557,0.021930867722475343,0.35547576301615796
ViLT,1,0.1,0.2,51,0.14104273155623792,0.37254901960784315
ViLT,2,0.2,0.30000000000000004,24,0.2418218975265821,0.5
ViLT,3,0.30000000000000004,0.4,16,0.34800319001078606,0.4375
ViLT,4,0.4,0.5,29,0.4430076952638297,0.5517241379310345
ViLT,5,0.5,0.6000000000000001,12,0.5487742374340693,0.5833333333333334
ViLT,6,0.6000000000000001,0.7000000000000001,28,0.6504734413964408,0.7142857142857143
ViLT,7,0.7000000000000001,0.8,26,0.7541949038322155,0.7307692307692307
ViLT,8,0.8,0.9,50,0.8615174686908722,0.82
ViLT,9,0.9,1.0,164,0.9517042582354894,0.8475609756097561
BLIP Caption + BERT,0,0.0,0.1,0,,
BLIP Caption + BERT,1,0.1,0.2,0,,
BLIP Caption + BERT,2,0.2,0.30000000000000004,0,,
BLIP Caption + BERT,3,0.30000000000000004,0.4,3,0.38285617033640545,0.3333333333333333
BLIP Caption + BERT,4,0.4,0.5,798,0.4682476496636718,0.4824561403508772
BLIP Caption + BERT,5,0.5,0.6000000000000001,156,0.5114878817246511,0.5897435897435898
BLIP Caption + BERT,6,0.6000000000000001,0.7000000000000001,0,,
BLIP Caption + BERT,7,0.7000000000000001,0.8,0,,
BLIP Caption + BERT,8,0.8,0.9,0,,
BLIP Caption + BERT,9,0.9,1.0,0,,
