Model,Condition,Samples,Accuracy,Balanced Accuracy,Macro F1,Real Recall,Fake Recall,Macro F1 Drop vs Correct
BLIP Caption + BERT,caption_only,188,0.5425531914893617,0.5398981324278438,0.5106537530266344,0.7894736842105263,0.2903225806451613,-0.03695583635996774
BLIP Caption + BERT,text_only,188,0.4095744680851064,0.41103565365025463,0.39894582217229757,0.2736842105263158,0.5483870967741935,0.07475209449436909
BLIP Caption + BERT,text_plus_blank_caption,188,0.5531914893617021,0.5490662139219016,0.4712736038569707,0.9368421052631579,0.16129032258064516,0.002424312809695961
BLIP Caption + BERT,text_plus_correct_caption,188,0.5425531914893617,0.5387662705149971,0.47369791666666666,0.8947368421052632,0.1827956989247312,0.0
BLIP Caption + BERT,text_plus_shuffled_caption,188,0.5106382978723404,0.5071873231465761,0.45092063492063494,0.8315789473684211,0.1827956989247312,0.02277728174603172
CLIP + MLP,blank_image,188,0.6702127659574468,0.66723259762309,0.6405575428641914,0.9473684210526315,0.3870967741935484,-0.007029277756978924
CLIP + MLP,correct_image,188,0.6648936170212766,0.6618562535370685,0.6335282651072125,0.9473684210526315,0.3763440860215054,0.0
CLIP + MLP,shuffled_image,188,0.6648936170212766,0.6618562535370685,0.6335282651072125,0.9473684210526315,0.3763440860215054,0.0
ViLT,blank_image,188,0.5106382978723404,0.5069609507640068,0.44184845746740675,0.8526315789473684,0.16129032258064516,0.288155352726327
ViLT,correct_image,188,0.7393617021276596,0.7374646293152235,0.7300038101937337,0.9157894736842105,0.5591397849462365,0.0
ViLT,shuffled_image,188,0.5159574468085106,0.5109790605546124,0.37614411260620645,0.9789473684210527,0.043010752688172046,0.3538596975875273
