model,perturbation,count,mean,change_rate_percent
BERT,add_noise,480,0.21666666666666667,21.666666666666668
BERT,remove_one_word,480,0.04791666666666667,4.791666666666667
BERT,remove_punctuation,480,0.0,0.0
BLIP Caption + BERT,add_noise,480,0.052083333333333336,5.208333333333334
BLIP Caption + BERT,remove_one_word,480,0.04583333333333333,4.583333333333333
BLIP Caption + BERT,remove_punctuation,480,0.0,0.0
CLIP + MLP,add_noise,480,0.008333333333333333,0.8333333333333334
CLIP + MLP,remove_one_word,480,0.016666666666666666,1.6666666666666667
CLIP + MLP,remove_punctuation,480,0.0,0.0
ViLT,add_noise,480,0.07708333333333334,7.708333333333334
ViLT,remove_one_word,480,0.0625,6.25
ViLT,remove_punctuation,480,0.0,0.0
