Model,Change,Samples,Original Accuracy,Changed Accuracy,Prediction Change Rate
BERT,add_noise,480,0.8979166666666667,0.7520833333333333,21.666666666666668
BERT,remove_one_word,480,0.8979166666666667,0.875,4.791666666666667
BERT,remove_punctuation,480,0.8979166666666667,0.8979166666666667,0.0
BLIP Caption + BERT,add_noise,480,0.5291666666666667,0.4979166666666667,5.208333333333334
BLIP Caption + BERT,remove_one_word,480,0.5291666666666667,0.5166666666666667,4.583333333333333
BLIP Caption + BERT,remove_punctuation,480,0.5291666666666667,0.5291666666666667,0.0
CLIP + MLP,add_noise,480,0.6479166666666667,0.64375,0.8333333333333334
CLIP + MLP,remove_one_word,480,0.6479166666666667,0.64375,1.6666666666666667
CLIP + MLP,remove_punctuation,480,0.6479166666666667,0.6479166666666667,0.0
ViLT,add_noise,480,0.6875,0.7104166666666667,7.708333333333334
ViLT,remove_one_word,480,0.6875,0.6791666666666667,6.25
ViLT,remove_punctuation,480,0.6875,0.6875,0.0
