Model,VERITE Type,Samples,Accuracy
BERT,miscaptioned,338,0.3994082840236686
BERT,out-of-context,325,0.49846153846153846
BERT,true,338,0.5
CLIP + MLP,miscaptioned,338,0.1804733727810651
CLIP + MLP,out-of-context,325,0.23076923076923078
CLIP + MLP,true,338,0.7781065088757396
ViLT,miscaptioned,338,0.07692307692307693
ViLT,out-of-context,325,0.06461538461538462
ViLT,true,338,0.9408284023668639
BLIP + BERT,miscaptioned,338,0.46153846153846156
BLIP + BERT,out-of-context,325,0.5046153846153846
BLIP + BERT,true,338,0.5443786982248521
