Model,Change,Samples,Original Accuracy,Changed Accuracy,Prediction Change Rate
BLIP Caption + BERT,blur,194,0.5463917525773195,0.5257731958762887,12.371134020618557
BLIP Caption + BERT,crop,194,0.5463917525773195,0.5515463917525774,10.824742268041238
BLIP Caption + BERT,darken,194,0.5463917525773195,0.5618556701030928,12.886597938144329
BLIP Caption + BERT,grayscale,194,0.5463917525773195,0.5360824742268041,14.432989690721648
CLIP + MLP,blur,194,0.6597938144329897,0.6649484536082474,0.5154639175257731
CLIP + MLP,crop,194,0.6597938144329897,0.6597938144329897,0.0
CLIP + MLP,darken,194,0.6597938144329897,0.6597938144329897,1.0309278350515463
CLIP + MLP,grayscale,194,0.6597938144329897,0.6597938144329897,0.0
ViLT,blur,194,0.7371134020618557,0.6804123711340206,11.855670103092782
ViLT,crop,194,0.7371134020618557,0.7371134020618557,8.24742268041237
ViLT,darken,194,0.7371134020618557,0.7371134020618557,5.154639175257731
ViLT,grayscale,194,0.7371134020618557,0.6804123711340206,11.855670103092782
