model,transformation,count,mean,change_rate_percent
BLIP Caption + BERT,blur,194,0.12371134020618557,12.371134020618557
BLIP Caption + BERT,crop,194,0.10824742268041238,10.824742268041238
BLIP Caption + BERT,darken,194,0.12886597938144329,12.886597938144329
BLIP Caption + BERT,grayscale,194,0.14432989690721648,14.432989690721648
CLIP + MLP,blur,194,0.005154639175257732,0.5154639175257731
CLIP + MLP,crop,194,0.0,0.0
CLIP + MLP,darken,194,0.010309278350515464,1.0309278350515463
CLIP + MLP,grayscale,194,0.0,0.0
ViLT,blur,194,0.11855670103092783,11.855670103092782
ViLT,crop,194,0.08247422680412371,8.24742268041237
ViLT,darken,194,0.05154639175257732,5.154639175257731
ViLT,grayscale,194,0.11855670103092783,11.855670103092782
